ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	1.5	0.0	>=0.1_0.125	378	4420	16760	72	30	42	0.84	0.791	0.792	0.631	0.079	0.84	0.144	0.921	0.664
4.0_64.0	1.5	0.1	>=0.1_0.125	377	4346	16834	73	30	43	0.838	0.795	0.796	0.633	0.08	0.838	0.146	0.92	0.665
4.0_64.0	1.5	0.2	>=0.1_0.125	374	4260	16920	76	30	46	0.831	0.799	0.8	0.63	0.081	0.831	0.148	0.919	0.664
4.0_64.0	1.4	0.0	>=0.1_0.125	372	4130	17050	78	30	48	0.827	0.805	0.805	0.632	0.083	0.827	0.151	0.917	0.663
4.0_64.0	1.5	0.3	>=0.1_0.125	371	4167	17013	79	30	49	0.824	0.803	0.804	0.627	0.082	0.824	0.149	0.918	0.668
4.0_64.0	1.4	0.1	>=0.1_0.125	369	4031	17149	81	30	51	0.82	0.81	0.81	0.63	0.084	0.82	0.152	0.916	0.664
4.0_64.0	1.5	0.4	>=0.1_0.125	369	4074	17106	81	30	51	0.82	0.808	0.808	0.628	0.083	0.82	0.151	0.917	0.67
4.0_64.0	1.4	0.2	>=0.1_0.125	367	3919	17261	83	30	53	0.816	0.815	0.815	0.631	0.086	0.816	0.156	0.914	0.674
4.0_64.0	1.5	0.5	>=0.1_0.125	366	3948	17232	84	30	54	0.813	0.814	0.814	0.627	0.085	0.813	0.154	0.915	0.676
4.0_64.0	1.3	0.0	>=0.1_0.125	365	3749	17431	85	30	55	0.811	0.823	0.823	0.634	0.089	0.811	0.16	0.911	0.675
4.0_64.0	1.5	0.0	>=0.25    	333	1142	4960	42	14	28	0.888	0.813	0.817	0.701	0.226	0.888	0.36	0.774	0.72
4.0_64.0	1.5	0.1	>=0.25    	333	1121	4981	42	14	28	0.888	0.816	0.82	0.704	0.229	0.888	0.364	0.771	0.723
4.0_64.0	1.5	0.2	>=0.25    	330	1083	5019	45	14	31	0.88	0.823	0.826	0.703	0.234	0.88	0.37	0.766	0.722
4.0_64.0	1.4	0.0	>=0.25    	328	1050	5052	47	14	33	0.875	0.828	0.831	0.703	0.238	0.875	0.374	0.762	0.719
4.0_64.0	1.5	0.3	>=0.25    	328	1040	5062	47	14	33	0.875	0.83	0.832	0.705	0.24	0.875	0.377	0.76	0.728
4.0_64.0	1.4	0.1	>=0.25    	326	1007	5095	49	14	35	0.869	0.835	0.837	0.704	0.245	0.869	0.382	0.755	0.722
4.0_64.0	1.5	0.4	>=0.25    	326	999	5103	49	14	35	0.869	0.836	0.838	0.705	0.246	0.869	0.383	0.754	0.73
4.0_64.0	1.4	0.2	>=0.25    	324	955	5147	51	14	37	0.864	0.843	0.845	0.707	0.253	0.864	0.391	0.747	0.734
4.0_64.0	1.5	0.5	>=0.25    	323	939	5163	52	14	38	0.861	0.846	0.847	0.707	0.256	0.861	0.395	0.744	0.737
4.0_64.0	1.3	0.0	>=0.25    	322	909	5193	53	14	39	0.859	0.851	0.851	0.71	0.262	0.859	0.402	0.738	0.733
4.0_64.0	1.5	0.0	>=0.375   	282	278	1317	18	4	14	0.94	0.826	0.844	0.766	0.504	0.94	0.656	0.496	0.778
4.0_64.0	1.5	0.1	>=0.375   	282	271	1324	18	4	14	0.94	0.83	0.847	0.77	0.51	0.94	0.661	0.49	0.781
4.0_64.0	1.5	0.2	>=0.375   	280	259	1336	20	4	16	0.933	0.838	0.853	0.771	0.519	0.933	0.667	0.481	0.782
4.0_64.0	1.4	0.0	>=0.375   	278	255	1340	22	4	18	0.927	0.84	0.854	0.767	0.522	0.927	0.668	0.478	0.776
4.0_64.0	1.5	0.3	>=0.375   	278	241	1354	22	4	18	0.927	0.849	0.861	0.776	0.536	0.927	0.679	0.464	0.788
4.0_64.0	1.4	0.1	>=0.375   	276	241	1354	24	4	20	0.92	0.849	0.86	0.769	0.534	0.92	0.676	0.466	0.778
4.0_64.0	1.5	0.4	>=0.375   	276	230	1365	24	4	20	0.92	0.856	0.866	0.776	0.545	0.92	0.685	0.455	0.788
4.0_64.0	1.4	0.2	>=0.375   	274	217	1378	26	4	22	0.913	0.864	0.872	0.777	0.558	0.913	0.693	0.442	0.791
4.0_64.0	1.5	0.5	>=0.375   	273	204	1391	27	4	23	0.91	0.872	0.878	0.782	0.572	0.91	0.702	0.428	0.795
4.0_64.0	1.3	0.0	>=0.375   	272	206	1389	28	4	24	0.907	0.871	0.877	0.778	0.569	0.907	0.699	0.431	0.788
4.0_64.0	1.5	0.0	>=0.5     	228	207	965	9	2	7	0.962	0.823	0.847	0.785	0.524	0.962	0.678	0.476	0.808
4.0_64.0	1.5	0.1	>=0.5     	228	202	970	9	2	7	0.962	0.828	0.85	0.79	0.53	0.962	0.683	0.47	0.81
4.0_64.0	1.5	0.2	>=0.5     	227	193	979	10	2	8	0.958	0.835	0.856	0.793	0.54	0.958	0.691	0.46	0.814
4.0_64.0	1.4	0.0	>=0.5     	226	190	982	11	2	9	0.954	0.838	0.857	0.792	0.543	0.954	0.692	0.457	0.811
4.0_64.0	1.5	0.3	>=0.5     	226	180	992	11	2	9	0.954	0.846	0.864	0.8	0.557	0.954	0.703	0.443	0.823
4.0_64.0	1.4	0.1	>=0.5     	224	179	993	13	2	11	0.945	0.847	0.864	0.792	0.556	0.945	0.7	0.444	0.812
4.0_64.0	1.5	0.4	>=0.5     	224	172	1000	13	2	11	0.945	0.853	0.869	0.798	0.566	0.945	0.708	0.434	0.822
4.0_64.0	1.3	0.0	>=0.5     	222	153	1019	15	2	13	0.937	0.869	0.881	0.806	0.592	0.937	0.726	0.408	0.828
4.0_64.0	1.4	0.2	>=0.5     	222	161	1011	15	2	13	0.937	0.863	0.875	0.8	0.58	0.937	0.716	0.42	0.824
4.0_64.0	1.5	0.5	>=0.5     	222	153	1019	15	2	13	0.937	0.869	0.881	0.806	0.592	0.937	0.726	0.408	0.83
4.0_64.0	1.4	0.0	>=0.7_0.75	146	50	342	4	0	4	0.973	0.872	0.9	0.845	0.745	0.973	0.844	0.255	0.846
4.0_64.0	1.5	0.0	>=0.7_0.75	146	54	338	4	0	4	0.973	0.862	0.893	0.835	0.73	0.973	0.834	0.27	0.838
4.0_64.0	1.5	0.1	>=0.7_0.75	146	54	338	4	0	4	0.973	0.862	0.893	0.835	0.73	0.973	0.834	0.27	0.838
4.0_64.0	1.5	0.2	>=0.7_0.75	146	51	341	4	0	4	0.973	0.87	0.899	0.843	0.741	0.973	0.841	0.259	0.846
4.0_64.0	1.5	0.3	>=0.7_0.75	146	45	347	4	0	4	0.973	0.885	0.91	0.858	0.764	0.973	0.856	0.236	0.861
4.0_64.0	1.3	0.0	>=0.7_0.75	145	37	355	5	0	5	0.967	0.906	0.923	0.873	0.797	0.967	0.874	0.203	0.874
