ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
8.0_64.0	1.3	0.8	>=0.375   	171	35	829	29	1	28	0.855	0.959	0.94	0.814	0.83	0.855	0.842	0.17	0.817
8.0_64.0	1.3	0.9	>=0.375   	169	28	836	31	1	30	0.845	0.968	0.945	0.813	0.858	0.845	0.851	0.142	0.814
8.0_64.0	1.3	1.0	>=0.375   	168	23	841	32	1	31	0.84	0.973	0.948	0.813	0.88	0.84	0.86	0.12	0.812
8.0_64.0	1.2	0.5	>=0.375   	170	33	831	30	1	29	0.85	0.962	0.941	0.812	0.837	0.85	0.843	0.163	0.813
8.0_64.0	1.2	0.8	>=0.375   	167	20	844	33	1	32	0.835	0.977	0.95	0.812	0.893	0.835	0.863	0.107	0.808
8.0_64.0	1.4	1.0	>=0.375   	171	38	826	29	1	28	0.855	0.956	0.937	0.811	0.818	0.855	0.836	0.182	0.81
8.0_64.0	1.3	0.7	>=0.375   	171	40	824	29	1	28	0.855	0.954	0.935	0.809	0.81	0.855	0.832	0.19	0.808
8.0_64.0	1.1	0.6	>=0.375   	165	15	849	35	1	34	0.825	0.983	0.953	0.808	0.917	0.825	0.869	0.083	0.804
8.0_64.0	1.2	0.7	>=0.375   	167	24	840	33	1	32	0.835	0.972	0.946	0.807	0.874	0.835	0.854	0.126	0.806
8.0_64.0	1.2	0.9	>=0.5     	134	7	620	24	0	24	0.848	0.989	0.961	0.837	0.95	0.848	0.896	0.05	0.834
8.0_64.0	1.3	1.0	>=0.5     	135	15	612	23	0	23	0.854	0.976	0.952	0.83	0.9	0.854	0.876	0.1	0.831
8.0_64.0	1.2	0.5	>=0.5     	137	24	603	21	0	21	0.867	0.962	0.943	0.829	0.851	0.867	0.859	0.149	0.834
8.0_64.0	1.2	0.8	>=0.5     	134	12	615	24	0	24	0.848	0.981	0.954	0.829	0.918	0.848	0.882	0.082	0.827
8.0_64.0	1.3	0.8	>=0.5     	137	24	603	21	0	21	0.867	0.962	0.943	0.829	0.851	0.867	0.859	0.149	0.834
8.0_64.0	1.1	0.6	>=0.5     	133	9	618	25	0	25	0.842	0.986	0.957	0.828	0.937	0.842	0.887	0.063	0.826
8.0_64.0	1.0	0.3	>=0.5     	133	11	616	25	0	25	0.842	0.982	0.954	0.824	0.924	0.842	0.881	0.076	0.824
8.0_64.0	1.3	0.9	>=0.5     	135	19	608	23	0	23	0.854	0.97	0.946	0.824	0.877	0.854	0.865	0.123	0.828
8.0_64.0	1.4	1.0	>=0.5     	137	27	600	21	0	21	0.867	0.957	0.939	0.824	0.835	0.867	0.851	0.165	0.825
8.0_64.0	1.2	0.6	>=0.5     	135	20	607	23	0	23	0.854	0.968	0.945	0.822	0.871	0.854	0.862	0.129	0.827
8.0_64.0	1.2	0.0	>=0.7_0.75	93	12	196	7	0	7	0.93	0.942	0.938	0.872	0.886	0.93	0.907	0.114	0.873
8.0_64.0	1.3	0.2	>=0.7_0.75	93	14	194	7	0	7	0.93	0.933	0.932	0.863	0.869	0.93	0.898	0.131	0.865
8.0_64.0	1.4	0.5	>=0.7_0.75	93	14	194	7	0	7	0.93	0.933	0.932	0.863	0.869	0.93	0.898	0.131	0.865
8.0_64.0	1.5	0.6	>=0.7_0.75	95	18	190	5	0	5	0.95	0.913	0.925	0.863	0.841	0.95	0.892	0.159	0.864
8.0_64.0	1.4	0.3	>=0.7_0.75	95	19	189	5	0	5	0.95	0.909	0.922	0.859	0.833	0.95	0.888	0.167	0.861
8.0_64.0	1.3	0.1	>=0.7_0.75	94	17	191	6	0	6	0.94	0.918	0.925	0.858	0.847	0.94	0.891	0.153	0.861
8.0_64.0	1.5	0.5	>=0.7_0.75	96	22	186	4	0	4	0.96	0.894	0.916	0.854	0.814	0.96	0.881	0.186	0.856
8.0_64.0	1.4	0.4	>=0.7_0.75	93	16	192	7	0	7	0.93	0.923	0.925	0.853	0.853	0.93	0.89	0.147	0.855
8.0_64.0	1.5	0.7	>=0.7_0.75	93	16	192	7	0	7	0.93	0.923	0.925	0.853	0.853	0.93	0.89	0.147	0.855
8.0_64.0	1.3	0.0	>=0.7_0.75	96	23	185	4	0	4	0.96	0.889	0.912	0.849	0.807	0.96	0.877	0.193	0.85
8.0_64.0	1.2	0.0	>=1.0     	47	4	70	3	0	3	0.94	0.946	0.944	0.886	0.922	0.94	0.931	0.078	0.886
8.0_64.0	1.3	0.2	>=1.0     	47	4	70	3	0	3	0.94	0.946	0.944	0.886	0.922	0.94	0.931	0.078	0.886
8.0_64.0	1.4	0.5	>=1.0     	47	4	70	3	0	3	0.94	0.946	0.944	0.886	0.922	0.94	0.931	0.078	0.886
8.0_64.0	1.3	0.1	>=1.0     	47	5	69	3	0	3	0.94	0.932	0.935	0.872	0.904	0.94	0.922	0.096	0.872
8.0_64.0	1.4	0.4	>=1.0     	47	5	69	3	0	3	0.94	0.932	0.935	0.872	0.904	0.94	0.922	0.096	0.872
8.0_64.0	1.5	0.7	>=1.0     	47	5	69	3	0	3	0.94	0.932	0.935	0.872	0.904	0.94	0.922	0.096	0.872
8.0_64.0	1.5	0.8	>=1.0     	46	4	70	4	0	4	0.92	0.946	0.935	0.866	0.92	0.92	0.92	0.08	0.866
8.0_64.0	1.4	0.2	>=1.0     	48	7	67	2	0	2	0.96	0.905	0.927	0.865	0.873	0.96	0.914	0.127	0.865
8.0_64.0	1.5	0.5	>=1.0     	48	7	67	2	0	2	0.96	0.905	0.927	0.865	0.873	0.96	0.914	0.127	0.865
8.0_64.0	1.4	0.3	>=1.0     	47	6	68	3	0	3	0.94	0.919	0.927	0.859	0.887	0.94	0.913	0.113	0.859
