ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	1.3	0.2	1.0       	72	8	129	3	0	3	0.96	0.942	0.948	0.902	0.9	0.96	0.929	0.1	0.902
4.0_64.0	1.3	0.1	1.0       	72	9	128	3	0	3	0.96	0.934	0.943	0.894	0.889	0.96	0.923	0.111	0.894
4.0_64.0	1.4	0.4	1.0       	72	9	128	3	0	3	0.96	0.934	0.943	0.894	0.889	0.96	0.923	0.111	0.894
4.0_64.0	1.5	0.7	1.0       	72	9	128	3	0	3	0.96	0.934	0.943	0.894	0.889	0.96	0.923	0.111	0.894
4.0_64.0	1.4	0.2	1.0       	73	11	126	2	0	2	0.973	0.92	0.939	0.893	0.869	0.973	0.918	0.131	0.893
4.0_64.0	1.5	0.5	1.0       	73	11	126	2	0	2	0.973	0.92	0.939	0.893	0.869	0.973	0.918	0.131	0.893
4.0_64.0	1.2	0.0	1.0       	71	8	129	4	0	4	0.947	0.942	0.943	0.889	0.899	0.947	0.922	0.101	0.889
4.0_64.0	1.4	0.5	1.0       	71	8	129	4	0	4	0.947	0.942	0.943	0.889	0.899	0.947	0.922	0.101	0.889
4.0_64.0	1.4	0.3	1.0       	72	10	127	3	0	3	0.96	0.927	0.939	0.887	0.878	0.96	0.917	0.122	0.887
4.0_64.0	1.5	0.6	1.0       	72	10	127	3	0	3	0.96	0.927	0.939	0.887	0.878	0.96	0.917	0.122	0.887
8.0_64.0	1.2	0.0	1.0       	47	4	70	3	0	3	0.94	0.946	0.944	0.886	0.922	0.94	0.931	0.078	0.886
8.0_64.0	1.3	0.2	1.0       	47	4	70	3	0	3	0.94	0.946	0.944	0.886	0.922	0.94	0.931	0.078	0.886
8.0_64.0	1.4	0.5	1.0       	47	4	70	3	0	3	0.94	0.946	0.944	0.886	0.922	0.94	0.931	0.078	0.886
4.0_64.0	1.3	0.0	1.0       	73	12	125	2	0	2	0.973	0.912	0.934	0.885	0.859	0.973	0.912	0.141	0.885
4.0_64.0	1.5	0.4	1.0       	73	12	125	2	0	2	0.973	0.912	0.934	0.885	0.859	0.973	0.912	0.141	0.885
4.0_64.0	1.5	0.6	0.7_0.75  	72	21	234	3	0	3	0.96	0.918	0.927	0.878	0.774	0.96	0.857	0.226	0.878
4.0_64.0	1.5	0.8	1.0       	70	8	129	5	0	5	0.933	0.942	0.939	0.875	0.897	0.933	0.915	0.103	0.875
8.0_64.0	1.3	0.1	1.0       	47	5	69	3	0	3	0.94	0.932	0.935	0.872	0.904	0.94	0.922	0.096	0.872
8.0_64.0	1.4	0.4	1.0       	47	5	69	3	0	3	0.94	0.932	0.935	0.872	0.904	0.94	0.922	0.096	0.872
8.0_64.0	1.5	0.7	1.0       	47	5	69	3	0	3	0.94	0.932	0.935	0.872	0.904	0.94	0.922	0.096	0.872
4.0_64.0	1.5	0.3	1.0       	73	14	123	2	0	2	0.973	0.898	0.925	0.871	0.839	0.973	0.901	0.161	0.871
4.0_64.0	1.4	0.3	0.7_0.75  	72	23	232	3	0	3	0.96	0.91	0.921	0.87	0.758	0.96	0.847	0.242	0.87
8.0_64.0	1.5	0.6	0.7_0.75  	48	12	122	2	0	2	0.96	0.91	0.924	0.87	0.8	0.96	0.873	0.2	0.87
8.0_64.0	1.5	0.8	1.0       	46	4	70	4	0	4	0.92	0.946	0.935	0.866	0.92	0.92	0.92	0.08	0.866
4.0_64.0	1.3	0.1	0.7_0.75  	71	21	234	4	0	4	0.947	0.918	0.924	0.865	0.772	0.947	0.851	0.228	0.865
8.0_64.0	1.4	0.2	1.0       	48	7	67	2	0	2	0.96	0.905	0.927	0.865	0.873	0.96	0.914	0.127	0.865
8.0_64.0	1.5	0.5	1.0       	48	7	67	2	0	2	0.96	0.905	0.927	0.865	0.873	0.96	0.914	0.127	0.865
4.0_64.0	1.4	0.1	1.0       	73	15	122	2	0	2	0.973	0.891	0.92	0.864	0.83	0.973	0.896	0.17	0.864
8.0_64.0	1.4	0.3	0.7_0.75  	48	13	121	2	0	2	0.96	0.903	0.918	0.863	0.787	0.96	0.865	0.213	0.863
4.0_64.0	1.2	0.1	1.0       	69	8	129	6	0	6	0.92	0.942	0.934	0.862	0.896	0.92	0.908	0.104	0.862
4.0_64.0	1.3	0.0	0.7_0.75  	72	25	230	3	0	3	0.96	0.902	0.915	0.862	0.742	0.96	0.837	0.258	0.862
4.0_64.0	1.3	0.3	1.0       	69	8	129	6	0	6	0.92	0.942	0.934	0.862	0.896	0.92	0.908	0.104	0.862
4.0_64.0	1.4	0.6	1.0       	69	8	129	6	0	6	0.92	0.942	0.934	0.862	0.896	0.92	0.908	0.104	0.862
4.0_64.0	1.5	0.5	0.7_0.75  	72	25	230	3	0	3	0.96	0.902	0.915	0.862	0.742	0.96	0.837	0.258	0.862
4.0_64.0	1.2	0.0	0.7_0.75  	69	15	240	6	0	6	0.92	0.941	0.936	0.861	0.821	0.92	0.868	0.179	0.861
8.0_64.0	1.2	0.0	0.7_0.75  	46	8	126	4	0	4	0.92	0.94	0.935	0.86	0.852	0.92	0.885	0.148	0.86
8.0_64.0	1.4	0.3	1.0       	47	6	68	3	0	3	0.94	0.919	0.927	0.859	0.887	0.94	0.913	0.113	0.859
8.0_64.0	1.5	0.6	1.0       	47	6	68	3	0	3	0.94	0.919	0.927	0.859	0.887	0.94	0.913	0.113	0.859
4.0_64.0	1.2	0.2	0.7_0.75  	67	9	246	8	0	8	0.893	0.965	0.948	0.858	0.882	0.893	0.887	0.118	0.858
4.0_64.0	1.4	0.5	0.7_0.75  	69	16	239	6	0	6	0.92	0.937	0.933	0.857	0.812	0.92	0.863	0.188	0.857
4.0_64.0	1.5	0.2	1.0       	73	16	121	2	0	2	0.973	0.883	0.915	0.856	0.82	0.973	0.89	0.18	0.856
8.0_64.0	1.2	0.5	0.5       	52	18	401	6	0	6	0.897	0.957	0.95	0.854	0.743	0.897	0.813	0.257	0.854
8.0_64.0	1.3	0.8	0.5       	52	18	401	6	0	6	0.897	0.957	0.95	0.854	0.743	0.897	0.813	0.257	0.854
4.0_64.0	1.3	0.2	0.7_0.75  	69	17	238	6	0	6	0.92	0.933	0.93	0.853	0.802	0.92	0.857	0.198	0.853
4.0_64.0	1.5	0.7	0.7_0.75  	69	17	238	6	0	6	0.92	0.933	0.93	0.853	0.802	0.92	0.857	0.198	0.853
4.0_64.0	1.3	0.3	0.7_0.75  	68	14	241	7	0	7	0.907	0.945	0.936	0.852	0.829	0.907	0.866	0.171	0.852
8.0_64.0	1.2	0.9	0.5       	50	4	415	8	0	8	0.862	0.99	0.975	0.852	0.926	0.862	0.893	0.074	0.852
8.0_64.0	1.3	0.0	1.0       	48	8	66	2	0	2	0.96	0.892	0.919	0.852	0.857	0.96	0.906	0.143	0.852
8.0_64.0	1.4	1.0	0.5       	52	19	400	6	0	6	0.897	0.955	0.948	0.852	0.732	0.897	0.806	0.268	0.852
8.0_64.0	1.5	0.4	1.0       	48	8	66	2	0	2	0.96	0.892	0.919	0.852	0.857	0.96	0.906	0.143	0.852
4.0_64.0	1.5	0.3	0.7_0.75  	73	31	224	2	0	2	0.973	0.878	0.9	0.851	0.702	0.973	0.816	0.298	0.851
4.0_64.0	1.4	0.2	0.7_0.75  	72	28	227	3	0	3	0.96	0.89	0.906	0.85	0.72	0.96	0.823	0.28	0.85
4.0_64.0	1.5	1.0	0.7_0.75  	67	11	244	8	0	8	0.893	0.957	0.942	0.85	0.859	0.893	0.876	0.141	0.85
8.0_64.0	1.3	0.1	0.7_0.75  	47	12	122	3	0	3	0.94	0.91	0.918	0.85	0.797	0.94	0.863	0.203	0.85
4.0_64.0	1.2	0.2	1.0       	68	8	129	7	0	7	0.907	0.942	0.929	0.849	0.895	0.907	0.901	0.105	0.849
4.0_64.0	1.3	0.4	1.0       	68	8	129	7	0	7	0.907	0.942	0.929	0.849	0.895	0.907	0.901	0.105	0.849
4.0_64.0	1.4	0.0	1.0       	73	17	120	2	0	2	0.973	0.876	0.91	0.849	0.811	0.973	0.885	0.189	0.849
4.0_64.0	1.4	0.7	1.0       	68	8	129	7	0	7	0.907	0.942	0.929	0.849	0.895	0.907	0.901	0.105	0.849
4.0_64.0	1.5	0.0	1.0       	73	17	120	2	0	2	0.973	0.876	0.91	0.849	0.811	0.973	0.885	0.189	0.849
4.0_64.0	1.5	0.1	1.0       	73	17	120	2	0	2	0.973	0.876	0.91	0.849	0.811	0.973	0.885	0.189	0.849
4.0_64.0	1.5	0.9	1.0       	68	8	129	7	0	7	0.907	0.942	0.929	0.849	0.895	0.907	0.901	0.105	0.849
8.0_64.0	1.1	0.2	0.5       	52	20	399	6	0	6	0.897	0.952	0.945	0.849	0.722	0.897	0.8	0.278	0.849
8.0_64.0	1.3	0.0	0.7_0.75  	48	15	119	2	0	2	0.96	0.888	0.908	0.848	0.762	0.96	0.85	0.238	0.848
8.0_64.0	1.5	0.5	0.7_0.75  	48	15	119	2	0	2	0.96	0.888	0.908	0.848	0.762	0.96	0.85	0.238	0.848
8.0_64.0	1.3	0.7	0.5       	52	21	398	6	0	6	0.897	0.95	0.943	0.847	0.712	0.897	0.794	0.288	0.847
4.0_64.0	1.0	0.4	1.0       	64	1	136	11	0	11	0.853	0.993	0.943	0.846	0.985	0.853	0.914	0.015	0.846
4.0_64.0	1.0	0.5	1.0       	64	1	136	11	0	11	0.853	0.993	0.943	0.846	0.985	0.853	0.914	0.015	0.846
4.0_64.0	1.1	0.7	1.0       	64	1	136	11	0	11	0.853	0.993	0.943	0.846	0.985	0.853	0.914	0.015	0.846
4.0_64.0	1.1	0.8	1.0       	64	1	136	11	0	11	0.853	0.993	0.943	0.846	0.985	0.853	0.914	0.015	0.846
4.0_64.0	1.1	0.9	1.0       	64	1	136	11	0	11	0.853	0.993	0.943	0.846	0.985	0.853	0.914	0.015	0.846
4.0_64.0	1.2	1.0	1.0       	64	1	136	11	0	11	0.853	0.993	0.943	0.846	0.985	0.853	0.914	0.015	0.846
4.0_64.0	1.4	0.7	0.7_0.75  	67	12	243	8	0	8	0.893	0.953	0.939	0.846	0.848	0.893	0.87	0.152	0.846
8.0_64.0	1.2	0.1	1.0       	45	4	70	5	0	5	0.9	0.946	0.927	0.846	0.918	0.9	0.909	0.082	0.846
8.0_64.0	1.3	0.3	1.0       	45	4	70	5	0	5	0.9	0.946	0.927	0.846	0.918	0.9	0.909	0.082	0.846
8.0_64.0	1.4	0.6	1.0       	45	4	70	5	0	5	0.9	0.946	0.927	0.846	0.918	0.9	0.909	0.082	0.846
4.0_64.0	1.1	0.0	0.7_0.75  	66	9	246	9	0	9	0.88	0.965	0.945	0.845	0.88	0.88	0.88	0.12	0.845
4.0_64.0	1.3	0.5	0.7_0.75  	66	9	246	9	0	9	0.88	0.965	0.945	0.845	0.88	0.88	0.88	0.12	0.845
4.0_64.0	1.4	0.4	0.7_0.75  	69	19	236	6	0	6	0.92	0.925	0.924	0.845	0.784	0.92	0.847	0.216	0.845
4.0_64.0	1.4	0.8	0.7_0.75  	66	9	246	9	0	9	0.88	0.965	0.945	0.845	0.88	0.88	0.88	0.12	0.845
8.0_64.0	1.2	0.8	0.5       	50	7	412	8	0	8	0.862	0.983	0.969	0.845	0.877	0.862	0.869	0.123	0.845
8.0_64.0	1.3	0.2	0.7_0.75  	46	10	124	4	0	4	0.92	0.925	0.924	0.845	0.821	0.92	0.868	0.179	0.845
8.0_64.0	1.4	0.5	0.7_0.75  	46	10	124	4	0	4	0.92	0.925	0.924	0.845	0.821	0.92	0.868	0.179	0.845
4.0_64.0	1.4	0.0	0.7_0.75  	73	33	222	2	0	2	0.973	0.871	0.894	0.844	0.689	0.973	0.807	0.311	0.844
4.0_64.0	1.5	0.8	0.7_0.75  	68	16	239	7	0	7	0.907	0.937	0.93	0.844	0.81	0.907	0.856	0.19	0.844
8.0_64.0	1.1	0.0	0.7_0.75  	44	5	129	6	0	6	0.88	0.963	0.94	0.843	0.898	0.88	0.889	0.102	0.843
8.0_64.0	1.2	0.2	0.7_0.75  	44	5	129	6	0	6	0.88	0.963	0.94	0.843	0.898	0.88	0.889	0.102	0.843
8.0_64.0	1.3	0.5	0.7_0.75  	44	5	129	6	0	6	0.88	0.963	0.94	0.843	0.898	0.88	0.889	0.102	0.843
8.0_64.0	1.4	0.8	0.7_0.75  	44	5	129	6	0	6	0.88	0.963	0.94	0.843	0.898	0.88	0.889	0.102	0.843
4.0_64.0	1.2	0.1	0.7_0.75  	67	13	242	8	0	8	0.893	0.949	0.936	0.842	0.838	0.893	0.865	0.162	0.842
4.0_64.0	1.3	0.4	0.7_0.75  	67	13	242	8	0	8	0.893	0.949	0.936	0.842	0.838	0.893	0.865	0.162	0.842
4.0_64.0	1.5	0.9	0.7_0.75  	67	13	242	8	0	8	0.893	0.949	0.936	0.842	0.838	0.893	0.865	0.162	0.842
8.0_64.0	1.3	0.3	0.7_0.75  	45	8	126	5	0	5	0.9	0.94	0.929	0.84	0.849	0.9	0.874	0.151	0.84
8.0_64.0	1.4	0.9	0.5       	52	24	395	6	0	6	0.897	0.943	0.937	0.84	0.684	0.897	0.776	0.316	0.84
4.0_64.0	0.9	0.0	1.0       	64	2	135	11	0	11	0.853	0.985	0.939	0.838	0.97	0.853	0.908	0.03	0.838
4.0_64.0	1.0	0.2	1.0       	64	2	135	11	0	11	0.853	0.985	0.939	0.838	0.97	0.853	0.908	0.03	0.838
4.0_64.0	1.0	0.3	1.0       	64	2	135	11	0	11	0.853	0.985	0.939	0.838	0.97	0.853	0.908	0.03	0.838
4.0_64.0	1.1	0.5	1.0       	64	2	135	11	0	11	0.853	0.985	0.939	0.838	0.97	0.853	0.908	0.03	0.838
4.0_64.0	1.1	0.6	1.0       	64	2	135	11	0	11	0.853	0.985	0.939	0.838	0.97	0.853	0.908	0.03	0.838
4.0_64.0	1.2	0.8	1.0       	64	2	135	11	0	11	0.853	0.985	0.939	0.838	0.97	0.853	0.908	0.03	0.838
4.0_64.0	1.2	0.9	1.0       	64	2	135	11	0	11	0.853	0.985	0.939	0.838	0.97	0.853	0.908	0.03	0.838
