vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.1_0.125 	4.0_64.0	0.9	0.5	31	77	2021	23	19	4	0.574	0.963	0.954	0.537	0.287	0.574	0.383	0.713
0.1_0.125 	8.0_64.0	0.9	0.5	24	45	1168	12	10	2	0.667	0.963	0.954	0.63	0.348	0.667	0.457	0.652
0.25      	4.0_64.0	0.9	0.5	31	112	2631	23	16	7	0.574	0.959	0.952	0.533	0.217	0.574	0.315	0.783
0.25      	8.0_64.0	0.9	0.5	23	62	1484	13	8	5	0.639	0.96	0.953	0.599	0.271	0.639	0.381	0.729
0.375     	4.0_64.0	0.9	0.5	37	10	428	17	11	6	0.685	0.977	0.945	0.662	0.787	0.685	0.732	0.213
0.375     	8.0_64.0	0.9	0.5	26	3	244	10	7	3	0.722	0.988	0.954	0.71	0.897	0.722	0.8	0.103
0.5       	4.0_64.0	0.9	0.5	40	8	305	14	10	4	0.741	0.974	0.94	0.715	0.833	0.741	0.784	0.167
0.5       	8.0_64.0	0.9	0.5	28	5	177	8	6	2	0.778	0.973	0.94	0.751	0.848	0.778	0.811	0.152
0.7_0.75  	4.0_64.0	0.9	0.5	41	10	159	13	9	4	0.759	0.941	0.897	0.7	0.804	0.759	0.781	0.196
0.7_0.75  	8.0_64.0	0.9	0.5	28	6	84	8	6	2	0.778	0.933	0.889	0.711	0.824	0.778	0.8	0.176
1.0       	4.0_64.0	0.9	0.5	43	10	80	11	9	2	0.796	0.889	0.854	0.685	0.811	0.796	0.803	0.189
1.0       	8.0_64.0	0.9	0.5	29	7	46	7	6	1	0.806	0.868	0.843	0.674	0.806	0.806	0.806	0.194
