
### VAF=(0.0,0.5] DNA=(0.0,4.0]
#### FILE=v4MiSeq_commercial_samples_expected_indels_ExpectedVAFs_MissingSeraSeq_VAF_NG_0.0_0.5_0.0_4.0_with_blacklist_out.tsv
```
LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.4	0.0	33	40	574	26	13	0.458	0.935	0.885	0.452	0.458	0.455	0.548
0.1	0.4	0.1	31	39	575	26	15	0.431	0.936	0.883	0.443	0.431	0.437	0.557
0.1	0.5	0.2	33	44	570	26	13	0.458	0.928	0.879	0.429	0.458	0.443	0.571
0.1	0.5	0.3	32	43	571	26	14	0.444	0.93	0.879	0.427	0.444	0.435	0.573
0.1	0.6	0.5	33	45	569	26	13	0.458	0.927	0.878	0.423	0.458	0.44	0.577
```

### VAF=(0.0,0.5] DNA=(4.0,8.0]
#### FILE=v4MiSeq_commercial_samples_expected_indels_ExpectedVAFs_MissingSeraSeq_VAF_NG_0.0_0.5_4.0_8.0_with_blacklist_out.tsv
```
LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.4	0.0	26	18	383	6	18	0.52	0.955	0.907	0.591	0.52	0.553	0.409
0.1	0.4	0.1	25	17	384	6	19	0.5	0.958	0.907	0.595	0.5	0.543	0.405
0.1	0.5	0.0	27	23	378	6	17	0.54	0.943	0.898	0.54	0.54	0.54	0.46
0.1	0.5	0.1	27	20	381	6	17	0.54	0.95	0.905	0.574	0.54	0.556	0.426
0.1	0.5	0.2	27	19	382	6	17	0.54	0.953	0.907	0.587	0.54	0.563	0.413
0.1	0.5	0.3	26	18	383	6	18	0.52	0.955	0.907	0.591	0.52	0.553	0.409
0.1	0.6	0.3	27	23	378	6	17	0.54	0.943	0.898	0.54	0.54	0.54	0.46
0.1	0.6	0.4	27	20	381	6	17	0.54	0.95	0.905	0.574	0.54	0.556	0.426
0.1	0.6	0.5	26	19	382	6	18	0.52	0.953	0.905	0.578	0.52	0.547	0.422
0.1	0.6	0.6	25	18	383	6	19	0.5	0.955	0.905	0.581	0.5	0.537	0.419
0.1	0.7	0.7	27	20	381	6	17	0.54	0.95	0.905	0.574	0.54	0.556	0.426
0.1	0.7	0.8	26	20	381	6	18	0.52	0.95	0.902	0.565	0.52	0.542	0.435
0.1	0.8	0.7	28	26	375	6	16	0.56	0.935	0.894	0.519	0.56	0.539	0.481
0.1	0.8	1.0	27	21	380	6	17	0.54	0.948	0.902	0.562	0.54	0.551	0.438
```

### VAF=(0.0,0.5] DNA=(8.0,16.0]
#### FILE=v4MiSeq_commercial_samples_expected_indels_ExpectedVAFs_MissingSeraSeq_VAF_NG_0.0_0.5_8.0_16.0_with_blacklist_out.tsv
```
LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.3	0.0	28	4	486	5	27	0.467	0.992	0.935	0.875	0.467	0.609	0.125
0.1	0.4	0.0	30	8	482	5	25	0.5	0.984	0.931	0.789	0.5	0.612	0.211
0.1	0.4	0.1	30	7	483	5	25	0.5	0.986	0.933	0.811	0.5	0.619	0.189
0.1	0.4	0.3	28	3	487	5	27	0.467	0.994	0.936	0.903	0.467	0.616	0.097
0.1	0.5	0.0	33	11	479	5	22	0.55	0.978	0.931	0.75	0.55	0.635	0.25
0.1	0.5	0.1	32	10	480	5	23	0.533	0.98	0.931	0.762	0.533	0.627	0.238
0.1	0.5	0.3	30	9	481	5	25	0.5	0.982	0.929	0.769	0.5	0.606	0.231
0.1	0.5	0.4	29	7	483	5	26	0.483	0.986	0.931	0.806	0.483	0.604	0.194
0.1	0.6	0.0	35	20	470	5	20	0.583	0.959	0.918	0.636	0.583	0.608	0.364
0.1	0.6	0.1	34	17	473	5	21	0.567	0.965	0.922	0.667	0.567	0.613	0.333
0.1	0.6	0.2	34	15	475	5	21	0.567	0.969	0.925	0.694	0.567	0.624	0.306
0.1	0.6	0.3	32	12	478	5	23	0.533	0.976	0.927	0.727	0.533	0.615	0.273
0.1	0.7	0.3	35	20	470	5	20	0.583	0.959	0.918	0.636	0.583	0.608	0.364
0.1	0.7	0.4	34	18	472	5	21	0.567	0.963	0.92	0.654	0.567	0.607	0.346
0.1	0.7	0.5	34	17	473	5	21	0.567	0.965	0.922	0.667	0.567	0.613	0.333
0.1	0.8	0.7	34	18	472	5	21	0.567	0.963	0.92	0.654	0.567	0.607	0.346
0.1	0.8	0.8	33	16	474	5	22	0.55	0.967	0.922	0.673	0.55	0.605	0.327
0.1	0.9	1.0	34	17	473	5	21	0.567	0.965	0.922	0.667	0.567	0.613	0.333
```

### VAF=(0.0,0.5] DNA=(16.0,32.0]
#### FILE=v4MiSeq_commercial_samples_expected_indels_ExpectedVAFs_MissingSeraSeq_VAF_NG_0.0_0.5_16.0_32.0_with_blacklist_out.tsv
```
LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.4	0.0	27	1	287	0	19	0.587	0.997	0.94	0.964	0.587	0.73	0.036
0.1	0.5	0.0	29	2	286	0	17	0.63	0.993	0.943	0.935	0.63	0.753	0.065
0.1	0.5	0.1	28	1	287	0	18	0.609	0.997	0.943	0.966	0.609	0.747	0.034
0.1	0.5	0.2	28	1	287	0	18	0.609	0.997	0.943	0.966	0.609	0.747	0.034
0.1	0.5	0.3	28	1	287	0	18	0.609	0.997	0.943	0.966	0.609	0.747	0.034
0.1	0.5	0.4	27	1	287	0	19	0.587	0.997	0.94	0.964	0.587	0.73	0.036
0.1	0.6	0.0	30	5	283	0	16	0.652	0.983	0.937	0.857	0.652	0.741	0.143
0.1	0.6	0.1	30	3	285	0	16	0.652	0.99	0.943	0.909	0.652	0.759	0.091
0.1	0.6	0.2	30	3	285	0	16	0.652	0.99	0.943	0.909	0.652	0.759	0.091
0.1	0.6	0.3	28	2	286	0	18	0.609	0.993	0.94	0.933	0.609	0.737	0.067
0.1	0.6	0.4	28	2	286	0	18	0.609	0.993	0.94	0.933	0.609	0.737	0.067
0.1	0.6	0.5	28	1	287	0	18	0.609	0.997	0.943	0.966	0.609	0.747	0.034
0.1	0.6	0.6	27	1	287	0	19	0.587	0.997	0.94	0.964	0.587	0.73	0.036
0.1	0.7	0.1	30	6	282	0	16	0.652	0.979	0.934	0.833	0.652	0.731	0.167
0.1	0.7	0.2	30	5	283	0	16	0.652	0.983	0.937	0.857	0.652	0.741	0.143
0.1	0.7	0.3	30	4	284	0	16	0.652	0.986	0.94	0.882	0.652	0.75	0.118
0.1	0.7	0.4	30	3	285	0	16	0.652	0.99	0.943	0.909	0.652	0.759	0.091
0.1	0.7	0.5	30	3	285	0	16	0.652	0.99	0.943	0.909	0.652	0.759	0.091
0.1	0.7	0.6	28	3	285	0	18	0.609	0.99	0.937	0.903	0.609	0.727	0.097
0.1	0.7	0.7	28	3	285	0	18	0.609	0.99	0.937	0.903	0.609	0.727	0.097
0.1	0.7	0.8	28	2	286	0	18	0.609	0.993	0.94	0.933	0.609	0.737	0.067
0.1	0.7	0.9	27	1	287	0	19	0.587	0.997	0.94	0.964	0.587	0.73	0.036
0.1	0.8	0.3	30	7	281	0	16	0.652	0.976	0.931	0.811	0.652	0.723	0.189
0.1	0.8	0.4	30	7	281	0	16	0.652	0.976	0.931	0.811	0.652	0.723	0.189
0.1	0.8	0.5	30	5	283	0	16	0.652	0.983	0.937	0.857	0.652	0.741	0.143
0.1	0.8	0.6	30	4	284	0	16	0.652	0.986	0.94	0.882	0.652	0.75	0.118
0.1	0.8	0.7	30	4	284	0	16	0.652	0.986	0.94	0.882	0.652	0.75	0.118
0.1	0.8	0.8	29	3	285	0	17	0.63	0.99	0.94	0.906	0.63	0.743	0.094
0.1	0.8	0.9	28	3	285	0	18	0.609	0.99	0.937	0.903	0.609	0.727	0.097
0.1	0.8	1.0	28	3	285	0	18	0.609	0.99	0.937	0.903	0.609	0.727	0.097
0.1	0.9	0.7	30	5	283	0	16	0.652	0.983	0.937	0.857	0.652	0.741	0.143
0.1	0.9	0.8	30	4	284	0	16	0.652	0.986	0.94	0.882	0.652	0.75	0.118
